Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Figure,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,panel,Platform,ReleaseDate,replicate,Sample Name,sample_type,section,SRA Study,strain,Also_present_in
SRR19211554,AMPLICON,246,67937572,PRJNA838025,SAMN28402266,"Microbe\, viral or environmental",37243319,GLADSTONE INSTITUTES,2017-07/2017-08,v32+RT,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX15275979,1,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,MS54_S15,SINGLE,PCR,GENOMIC,Escherichia coli,e,ILLUMINA,2022-07-31T00:00:00Z,4,Main_1_e_v32+RT_rep4,Cell Culture,Main,SRP375182,BL21-AI,Main_3b_retron_v32_rep4
SRR19211555,AMPLICON,246,79329248,PRJNA838025,SAMN28402562,"Microbe\, viral or environmental",51370351,GLADSTONE INSTITUTES,2022-01/2022-02,day0_PCR1,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX15275978,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_29_74,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,3,ED_7_abcd_day0_PCR1_rep3,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211556,AMPLICON,246,40312410,PRJNA838025,SAMN28402561,"Microbe\, viral or environmental",20016987,GLADSTONE INSTITUTES,2022-01/2022-02,day9_PCR4,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX15275977,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_32,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day9_PCR4_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211557,AMPLICON,246,37930503,PRJNA838025,SAMN28402560,"Microbe\, viral or environmental",18727644,GLADSTONE INSTITUTES,2022-01/2022-02,day9_PCR3,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX15275976,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_31,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day9_PCR3_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211558,AMPLICON,246,35163829,PRJNA838025,SAMN28402559,"Microbe\, viral or environmental",17533228,GLADSTONE INSTITUTES,2022-01/2022-02,day9_PCR2,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX15275975,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_30,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day9_PCR2_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211559,AMPLICON,246,31763264,PRJNA838025,SAMN28402558,"Microbe\, viral or environmental",15804583,GLADSTONE INSTITUTES,2022-01/2022-02,day9_PCR1,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX15275974,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_29,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day9_PCR1_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211560,AMPLICON,246,38863455,PRJNA838025,SAMN28402557,"Microbe\, viral or environmental",18979910,GLADSTONE INSTITUTES,2022-01/2022-02,day5_PCR4,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX15275973,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_20,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day5_PCR4_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211561,AMPLICON,246,38163210,PRJNA838025,SAMN28402556,"Microbe\, viral or environmental",19002186,GLADSTONE INSTITUTES,2022-01/2022-02,day5_PCR3,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX15275972,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_19,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day5_PCR3_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211562,AMPLICON,246,35421358,PRJNA838025,SAMN28402555,"Microbe\, viral or environmental",17540603,GLADSTONE INSTITUTES,2022-01/2022-02,day5_PCR2,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX15275971,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_18,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day5_PCR2_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211563,AMPLICON,246,34991082,PRJNA838025,SAMN28402554,"Microbe\, viral or environmental",17144075,GLADSTONE INSTITUTES,2022-01/2022-02,day5_PCR1,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX15275970,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_17,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day5_PCR1_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211564,AMPLICON,246,36286485,PRJNA838025,SAMN28402553,"Microbe\, viral or environmental",17977292,GLADSTONE INSTITUTES,2022-01/2022-02,day2_PCR4,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX15275969,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_08,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day2_PCR4_rep2,Cell Culture,ED,SRP375182,bSLS.114,
